hourly_prod_id,date,session,shift_supervision_id,operator_id,team_lead_id,workshop_id,line_id,hour_index,theoretical_production,actual_production,reliability_target,non_production_minutes,explained_minutes,unexplained_minutes,reliability_rate,reliability_gap,explained_ratio,unexplained_ratio
HP_85efc58d,2026-01-03,SD,SS_7a9f1177,OP_001,TL_001,OVALE,L_OV_MS,0,1200,1200,0.6,0,0,0,1.0,0.4,0.0,0.0
HP_015b5e03,2026-01-03,SD,SS_7a9f1177,OP_001,TL_001,OVALE,L_OV_MS,1,1200,736,0.6,23,13,10,0.6133333333333333,0.013333333333333308,0.5652173913043478,0.43478260869565216
HP_66930cd4,2026-01-03,SD,SS_7a9f1177,OP_001,TL_001,OVALE,L_OV_MS,2,1200,767,0.6,21,13,8,0.6391666666666667,0.03916666666666668,0.6190476190476191,0.38095238095238093
HP_a8aacbc7,2026-01-03,SD,SS_7a9f1177,OP_001,TL_001,OVALE,L_OV_MS,3,1200,663,0.6,26,17,9,0.5525,-0.04749999999999999,0.6538461538461539,0.34615384615384615
HP_2b61e9e4,2026-01-04,SD,SS_9c959728,OP_002,TL_002,CAMEMBERT,L_CAM_B,0,1080,1080,0.57,0,0,0,1.0,0.43000000000000005,0.0,0.0
HP_c58c00e9,2026-01-04,SD,SS_9c959728,OP_002,TL_002,CAMEMBERT,L_CAM_B,1,1080,625,0.57,25,21,4,0.5787037037037037,0.008703703703703769,0.84,0.16
HP_d6bb6239,2026-01-04,SD,SS_9c959728,OP_002,TL_002,CAMEMBERT,L_CAM_B,2,1080,648,0.57,24,19,5,0.6,0.030000000000000027,0.7916666666666666,0.20833333333333334
HP_cb38bf74,2026-01-04,SD,SS_9c959728,OP_002,TL_002,CAMEMBERT,L_CAM_B,3,1080,597,0.57,26,16,10,0.5527777777777778,-0.01722222222222214,0.6153846153846154,0.38461538461538464
HP_26fd38b2,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,0,900,900,0.66,0,0,0,1.0,0.33999999999999997,0.0,0.0
HP_ceca0d73,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,1,900,572,0.66,21,12,9,0.6355555555555555,-0.02444444444444449,0.5714285714285714,0.42857142857142855
HP_c05210f4,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,2,900,590,0.66,20,12,8,0.6555555555555556,-0.004444444444444473,0.6,0.4
HP_fc86dd50,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,3,900,632,0.66,17,10,7,0.7022222222222222,0.04222222222222216,0.5882352941176471,0.4117647058823529
HP_d19ab220,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,4,900,575,0.66,21,16,5,0.6388888888888888,-0.02111111111111119,0.7619047619047619,0.23809523809523808
HP_0404ea31,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,5,900,628,0.66,18,12,6,0.6977777777777778,0.0377777777777778,0.6666666666666666,0.3333333333333333
HP_33f7f268,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,6,900,566,0.66,22,13,9,0.6288888888888889,-0.03111111111111109,0.5909090909090909,0.4090909090909091
HP_672cc384,2026-01-05,MATIN,SS_f0eb61d6,OP_003,TL_003,PORTION,L_PORTION_1,7,900,608,0.66,19,15,4,0.6755555555555556,0.015555555555555545,0.7894736842105263,0.21052631578947367
HP_09c76ba0,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,0,1560,1560,0.63,0,0,0,1.0,0.37,0.0,0.0
HP_761d4ee7,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,1,1560,1058,0.63,19,16,3,0.6782051282051282,0.048205128205128234,0.8421052631578947,0.15789473684210525
HP_a7b41792,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,2,1560,1039,0.63,20,14,6,0.666025641025641,0.036025641025640986,0.7,0.3
HP_9955aa34,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,3,1560,975,0.63,22,18,4,0.625,-0.0050000000000000044,0.8181818181818182,0.18181818181818182
HP_c08e7a90,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,4,1560,930,0.63,24,16,8,0.5961538461538461,-0.03384615384615386,0.6666666666666666,0.3333333333333333
HP_61f4407b,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,5,1560,1009,0.63,21,17,4,0.6467948717948718,0.016794871794871824,0.8095238095238095,0.19047619047619047
HP_374391a5,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,6,1560,1011,0.63,21,13,8,0.6480769230769231,0.0180769230769231,0.6190476190476191,0.38095238095238093
HP_41b2a901,2026-01-05,SOIR,SS_19f1e2c8,OP_004,TL_001,OVALE,L_OV_Y,7,1560,1003,0.63,21,15,6,0.642948717948718,0.012948717948717992,0.7142857142857143,0.2857142857142857
HP_726ec984,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,0,1080,1080,0.57,0,0,0,1.0,0.43000000000000005,0.0,0.0
HP_509f1b4c,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,1,1080,588,0.57,27,19,8,0.5444444444444444,-0.025555555555555554,0.7037037037037037,0.2962962962962963
HP_39e9ab43,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,2,1080,590,0.57,27,23,4,0.5462962962962963,-0.02370370370370367,0.8518518518518519,0.14814814814814814
HP_b6eceb92,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,3,1080,635,0.57,24,15,9,0.5879629629629629,0.01796296296296296,0.625,0.375
HP_05594390,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,4,1080,596,0.57,26,21,5,0.5518518518518518,-0.018148148148148135,0.8076923076923077,0.19230769230769232
HP_ea81e837,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,5,1080,567,0.57,28,23,5,0.525,-0.04499999999999993,0.8214285714285714,0.17857142857142858
HP_e9a0ce6e,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,6,1080,648,0.57,24,17,7,0.6,0.030000000000000027,0.7083333333333334,0.2916666666666667
HP_52ee6998,2026-01-05,NUIT,SS_20526982,OP_005,TL_002,CAMEMBERT,L_CAM_B,7,1080,568,0.57,28,24,4,0.5259259259259259,-0.04407407407407404,0.8571428571428571,0.14285714285714285
HP_f83c9c33,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,0,960,960,0.68,0,0,0,1.0,0.31999999999999995,0.0,0.0
HP_c38b483e,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,1,960,659,0.68,18,14,4,0.6864583333333333,0.006458333333333233,0.7777777777777778,0.2222222222222222
HP_026e49b5,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,2,960,625,0.68,20,14,6,0.6510416666666666,-0.02895833333333342,0.7,0.3
HP_d09cca12,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,3,960,689,0.68,16,12,4,0.7177083333333333,0.03770833333333323,0.75,0.25
HP_4cb2f5eb,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,4,960,618,0.68,21,13,8,0.64375,-0.036250000000000004,0.6190476190476191,0.38095238095238093
HP_7d33773f,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,5,960,676,0.68,17,12,5,0.7041666666666667,0.02416666666666667,0.7058823529411765,0.29411764705882354
HP_9b0592f9,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,6,960,676,0.68,17,12,5,0.7041666666666667,0.02416666666666667,0.7058823529411765,0.29411764705882354
HP_fb2ce1e6,2026-01-06,MATIN,SS_d49abf02,OP_006,TL_003,PORTION,L_PORTION_2,7,960,660,0.68,18,12,6,0.6875,0.007499999999999951,0.6666666666666666,0.3333333333333333
HP_331fcab6,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,0,1500,1500,0.65,0,0,0,1.0,0.35,0.0,0.0
HP_bdeb5035,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,1,1500,1049,0.65,18,11,7,0.6993333333333334,0.04933333333333334,0.6111111111111112,0.3888888888888889
HP_b9ca937f,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,2,1500,974,0.65,21,17,4,0.6493333333333333,-0.0006666666666667043,0.8095238095238095,0.19047619047619047
HP_8685b652,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,3,1500,1029,0.65,18,11,7,0.686,0.03600000000000003,0.6111111111111112,0.3888888888888889
HP_fe25652a,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,4,1500,923,0.65,23,18,5,0.6153333333333333,-0.034666666666666734,0.782608695652174,0.21739130434782608
HP_326fc42c,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,5,1500,989,0.65,20,14,6,0.6593333333333333,0.009333333333333305,0.7,0.3
HP_81b35971,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,6,1500,989,0.65,20,14,6,0.6593333333333333,0.009333333333333305,0.7,0.3
HP_553c7fcc,2026-01-06,SOIR,SS_dc961e9b,OP_007,TL_001,OVALE,L_OV_ES,7,1500,937,0.65,22,16,6,0.6246666666666667,-0.02533333333333332,0.7272727272727273,0.2727272727272727
HP_79ac7a0a,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,0,1080,1080,0.57,0,0,0,1.0,0.43000000000000005,0.0,0.0
HP_bc8f8cac,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,1,1080,663,0.57,23,18,5,0.6138888888888889,0.04388888888888898,0.782608695652174,0.21739130434782608
HP_5f245bc8,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,2,1080,573,0.57,28,24,4,0.5305555555555556,-0.03944444444444439,0.8571428571428571,0.14285714285714285
HP_2a8565ba,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,3,1080,642,0.57,24,19,5,0.5944444444444444,0.02444444444444449,0.7916666666666666,0.20833333333333334
HP_f7ef0c5a,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,4,1080,598,0.57,26,17,9,0.5537037037037037,-0.016296296296296253,0.6538461538461539,0.34615384615384615
HP_8f12f14f,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,5,1080,578,0.57,27,16,11,0.5351851851851852,-0.03481481481481474,0.5925925925925926,0.4074074074074074
HP_a73c39bf,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,6,1080,639,0.57,24,19,5,0.5916666666666667,0.021666666666666723,0.7916666666666666,0.20833333333333334
HP_7d7d95c9,2026-01-06,NUIT,SS_ade696bf,OP_008,TL_002,CAMEMBERT,L_CAM_B,7,1080,666,0.57,23,19,4,0.6166666666666667,0.046666666666666745,0.8260869565217391,0.17391304347826086
HP_32b82441,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,0,900,900,0.66,0,0,0,1.0,0.33999999999999997,0.0,0.0
HP_73ad6ba3,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,1,900,594,0.66,20,12,8,0.66,0.0,0.6,0.4
HP_48bcf2ac,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,2,900,605,0.66,19,16,3,0.6722222222222223,0.012222222222222245,0.8421052631578947,0.15789473684210525
HP_00782a2f,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,3,900,594,0.66,20,13,7,0.66,0.0,0.65,0.35
HP_a3fa1777,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,4,900,582,0.66,21,13,8,0.6466666666666666,-0.01333333333333342,0.6190476190476191,0.38095238095238093
HP_366c9fb6,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,5,900,634,0.66,17,14,3,0.7044444444444444,0.0444444444444444,0.8235294117647058,0.17647058823529413
HP_7cd77a34,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,6,900,631,0.66,17,13,4,0.7011111111111111,0.0411111111111111,0.7647058823529411,0.23529411764705882
HP_6d0237e2,2026-01-07,MATIN,SS_fa2b555e,OP_009,TL_003,PORTION,L_PORTION_1,7,900,592,0.66,20,12,8,0.6577777777777778,-0.0022222222222222365,0.6,0.4
HP_cd00477c,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,0,1380,1380,0.58,0,0,0,1.0,0.42000000000000004,0.0,0.0
HP_c9fde381,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,1,1380,781,0.58,26,23,3,0.5659420289855073,-0.014057971014492687,0.8846153846153846,0.11538461538461539
HP_3859c301,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,2,1380,842,0.58,23,15,8,0.6101449275362318,0.03014492753623188,0.6521739130434783,0.34782608695652173
HP_2278df2e,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,3,1380,764,0.58,26,20,6,0.553623188405797,-0.02637681159420291,0.7692307692307693,0.23076923076923078
HP_f0a1d8b2,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,4,1380,742,0.58,27,22,5,0.5376811594202898,-0.04231884057971014,0.8148148148148148,0.18518518518518517
HP_68c72a35,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,5,1380,844,0.58,23,20,3,0.6115942028985507,0.03159420289855075,0.8695652173913043,0.13043478260869565
HP_cf67a822,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,6,1380,804,0.58,25,15,10,0.5826086956521739,0.00260869565217392,0.6,0.4
HP_339344b1,2026-01-07,SOIR,SS_0b1b9f48,OP_010,TL_001,OVALE,L_OV_Z,7,1380,822,0.58,24,21,3,0.5956521739130435,0.01565217391304352,0.875,0.125
HP_d0499471,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,0,1080,1080,0.57,0,0,0,1.0,0.43000000000000005,0.0,0.0
HP_d90a04c5,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,1,1080,579,0.57,27,20,7,0.5361111111111111,-0.03388888888888886,0.7407407407407407,0.25925925925925924
HP_21d70b70,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,2,1080,627,0.57,25,22,3,0.5805555555555556,0.010555555555555651,0.88,0.12
HP_e0b04841,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,3,1080,661,0.57,23,19,4,0.612037037037037,0.042037037037037095,0.8260869565217391,0.17391304347826086
HP_4cd5bcee,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,4,1080,636,0.57,24,19,5,0.5888888888888889,0.018888888888888955,0.7916666666666666,0.20833333333333334
HP_1dce43b0,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,5,1080,604,0.57,26,20,6,0.5592592592592592,-0.010740740740740717,0.7692307692307693,0.23076923076923078
HP_e740c6fe,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,6,1080,601,0.57,26,22,4,0.5564814814814815,-0.013518518518518485,0.8461538461538461,0.15384615384615385
HP_db98aa4b,2026-01-07,NUIT,SS_64d75aab,OP_001,TL_002,CAMEMBERT,L_CAM_B,7,1080,610,0.57,26,17,9,0.5648148148148148,-0.005185185185185182,0.6538461538461539,0.34615384615384615
HP_eb39a081,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,0,960,960,0.68,0,0,0,1.0,0.31999999999999995,0.0,0.0
HP_056f05ba,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,1,960,610,0.68,21,12,9,0.6354166666666666,-0.04458333333333342,0.5714285714285714,0.42857142857142855
HP_e10b06f9,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,2,960,657,0.68,18,13,5,0.684375,0.004374999999999907,0.7222222222222222,0.2777777777777778
HP_97e82c53,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,3,960,605,0.68,22,17,5,0.6302083333333334,-0.04979166666666668,0.7727272727272727,0.22727272727272727
HP_4d6bc808,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,4,960,610,0.68,21,13,8,0.6354166666666666,-0.04458333333333342,0.6190476190476191,0.38095238095238093
HP_d900e9d1,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,5,960,607,0.68,22,15,7,0.6322916666666667,-0.04770833333333335,0.6818181818181818,0.3181818181818182
HP_fd6b16c9,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,6,960,654,0.68,19,12,7,0.68125,0.0012499999999999734,0.631578947368421,0.3684210526315789
HP_33c4069e,2026-01-08,MATIN,SS_0c7824b5,OP_002,TL_003,PORTION,L_PORTION_2,7,960,651,0.68,19,14,5,0.678125,-0.001875000000000071,0.7368421052631579,0.2631578947368421
HP_a908b577,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,0,1800,1800,0.7,0,0,0,1.0,0.30000000000000004,0.0,0.0
HP_5c878583,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,1,1800,1300,0.7,16,13,3,0.7222222222222222,0.022222222222222254,0.8125,0.1875
HP_3d136f74,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,2,1800,1273,0.7,17,11,6,0.7072222222222222,0.007222222222222241,0.6470588235294118,0.35294117647058826
HP_ce4ae9d6,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,3,1800,1255,0.7,18,12,6,0.6972222222222222,-0.002777777777777768,0.6666666666666666,0.3333333333333333
HP_bc5d26d2,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,4,1800,1186,0.7,20,15,5,0.6588888888888889,-0.0411111111111111,0.75,0.25
HP_800dd80c,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,5,1800,1233,0.7,18,13,5,0.685,-0.014999999999999902,0.7222222222222222,0.2777777777777778
HP_ae4e508c,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,6,1800,1325,0.7,15,9,6,0.7361111111111112,0.036111111111111205,0.6,0.4
HP_8a8cf959,2026-01-08,SOIR,SS_36dfb490,OP_003,TL_001,OVALE,L_OV_X,7,1800,1287,0.7,17,13,4,0.715,0.015000000000000013,0.7647058823529411,0.23529411764705882
