event_id,hourly_prod_id,event_type,cause_family,organ,element,operator_action,duration_minutes,comment
EV_3a306294,HP_89b5c283,missing_film_imprint,quality,printing_unit,print_head,print check,10,Generated production event
EV_06234909,HP_89b5c283,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,5,Generated production event
EV_df216d9f,HP_89b5c283,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,11,Generated production event
EV_5cabbc0c,HP_f472976b,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,5,Generated production event
EV_a174cc83,HP_f472976b,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,10,Generated production event
EV_0a66f3b7,HP_f472976b,case_packer_format_change,changeover,case_packer,format,format change,12,Generated production event
EV_33a00e05,HP_f472976b,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,2,Generated production event
EV_4e9abed8,HP_d9d7e3d8,machine_warmup,planned,machine,startup,warmup,16,Generated production event
EV_d260a099,HP_d9d7e3d8,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,10,Generated production event
EV_02b5f3c8,HP_8211f714,infeed_conveyor_failure,mechanical,stacker,conveyor,conveyor supply,8,Generated production event
EV_0b758b4c,HP_8211f714,paper_roll_change,changeover,printing_unit,paper_roll,roll change,13,Generated production event
EV_314f556c,HP_8211f714,missing_film_imprint,quality,printing_unit,print_head,print check,3,Generated production event
EV_77a8d75a,HP_8211f714,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,2,Generated production event
EV_5b8aa708,HP_5ed5c39e,base_plate_transfer_fault,mechanical,base_plate_system,transfer,plate transfer,15,Generated production event
EV_2be30a6a,HP_5ed5c39e,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,5,Generated production event
EV_0876f3ff,HP_5ed5c39e,poor_material_supply,organization,supply_chain,logistics,supply adjustment,4,Generated production event
EV_3db632b7,HP_13228a66,machine_warmup,planned,machine,startup,warmup,6,Generated production event
EV_0de752cb,HP_13228a66,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,5,Generated production event
EV_a166956c,HP_13228a66,shift_handover,planned,organization,handover,handover,7,Generated production event
EV_7af78a2c,HP_13228a66,unknown_event,other,unknown,unknown,unknown,7,Generated production event
EV_1eba17f7,HP_9ecab525,axis_collision,mechanical,robot_axis,axis,axis reset,5,Generated production event
EV_93f5466d,HP_9ecab525,door_safety_fault,electrical,safety_system,safety_door,reset safety,10,Generated production event
EV_aedc80c9,HP_9ecab525,product_length_out_of_range,quality,measurement_system,length_control,product rejection,3,Generated production event
EV_88704376,HP_9ecab525,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,3,Generated production event
EV_5ccb753d,HP_9ecab525,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,3,Generated production event
EV_5acff9a1,HP_d93b1d07,short_break,planned,human,break,break,10,Alternating daily break
EV_4134c2d9,HP_d93b1d07,small_product_output,process,upstream_process,throughput,process check,5,Generated production event
EV_5df9ea7a,HP_d93b1d07,small_product_output,process,upstream_process,throughput,process check,5,Generated production event
EV_06820213,HP_d93b1d07,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,2,Generated production event
EV_99a0f9c4,HP_640f0ac7,short_break,planned,human,break,break,10,Alternating daily break
EV_d6708527,HP_640f0ac7,other,other,unknown,unknown,unknown,4,Generated production event
EV_c2c762d3,HP_640f0ac7,planned_maintenance,maintenance,maintenance,planned,maintenance,4,Generated production event
EV_b0a7b8f5,HP_640f0ac7,machine_warmup,planned,machine,startup,warmup,2,Generated production event
EV_e09de5bd,HP_659640e6,short_break,planned,human,break,break,10,Alternating daily break
EV_651d7b2a,HP_659640e6,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,5,Generated production event
EV_fbe33866,HP_659640e6,unknown_event,other,unknown,unknown,unknown,3,Generated production event
EV_b524b4ab,HP_659640e6,conveyor_output_jam,mechanical,outfeed_conveyor,product_flow,jam removal,1,Generated production event
EV_7ce43cc5,HP_30190eac,short_break,planned,human,break,break,10,Alternating daily break
EV_5b81e8fb,HP_30190eac,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,3,Generated production event
EV_4f13c716,HP_30190eac,conveyor_output_jam,mechanical,outfeed_conveyor,product_flow,jam removal,4,Generated production event
EV_c5bde390,HP_30190eac,missing_film_imprint,quality,printing_unit,print_head,print check,1,Generated production event
EV_4874fa33,HP_69a9cb64,short_break,planned,human,break,break,10,Alternating daily break
EV_9638f664,HP_69a9cb64,operator_break,planned,human,break,break,8,Generated production event
