shift_supervision_id,date,session,factory_id,workshop_id,line_id,team_lead_id,start_time,end_time
SS_6da74ab6,2026-01-03,SD,F_DOM,W_OV,L_OV_MS,TL_001,06:00,10:00
SS_b95ca85d,2026-01-04,SD,F_DOM,W_CAM,L_CAM_MS,TL_002,06:00,10:00
SS_0a1523fb,2026-01-05,MATIN,F_DOM,W_OV,L_OV_MS,TL_001,05:00,13:15
SS_6064fe46,2026-01-05,SOIR,F_DOM,W_CAM,L_CAM_MS,TL_002,13:15,21:30
SS_e4cacc09,2026-01-05,NUIT,F_DOM,W_OV,L_OV_MS,TL_001,21:30,05:00
SS_9241f109,2026-01-06,MATIN,F_DOM,W_CAM,L_CAM_MS,TL_002,05:00,13:15
SS_4ab14d95,2026-01-06,SOIR,F_DOM,W_OV,L_OV_MS,TL_001,13:15,21:30
SS_f65f7865,2026-01-06,NUIT,F_DOM,W_CAM,L_CAM_MS,TL_002,21:30,05:00
SS_ffa09813,2026-01-07,MATIN,F_DOM,W_OV,L_OV_MS,TL_001,05:00,13:15
SS_d5a05dd6,2026-01-07,SOIR,F_DOM,W_CAM,L_CAM_MS,TL_002,13:15,21:30
SS_71d135b0,2026-01-07,NUIT,F_DOM,W_OV,L_OV_MS,TL_001,21:30,05:00
SS_a3ba5647,2026-01-08,MATIN,F_DOM,W_CAM,L_CAM_MS,TL_002,05:00,13:15
SS_825b2604,2026-01-08,SOIR,F_DOM,W_OV,L_OV_MS,TL_001,13:15,21:30
SS_909638f7,2026-01-08,NUIT,F_DOM,W_CAM,L_CAM_MS,TL_002,21:30,05:00
SS_1eac2686,2026-01-09,MATIN,F_DOM,W_OV,L_OV_MS,TL_001,05:00,13:15
SS_458003c7,2026-01-09,SOIR,F_DOM,W_CAM,L_CAM_MS,TL_002,13:15,21:30
SS_0fcd801e,2026-01-09,NUIT,F_DOM,W_OV,L_OV_MS,TL_001,21:30,05:00
SS_aa7e9307,2026-01-10,SD,F_DOM,W_CAM,L_CAM_MS,TL_002,06:00,10:00
