hourly_prod_id,date,session,shift_supervision_id,operator_id,team_lead_id,workshop_id,line_id,hour_index,theoretical_production,actual_production,reliability_target,non_production_minutes,explained_minutes,unexplained_minutes,reliability_rate,reliability_gap,explained_ratio,unexplained_ratio
HP_2be99ff8,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,0,1020,1020,0.55,0,0,0,1.0,0.44999999999999996,0.0,0.0
HP_435e7f1a,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,1,1020,575,0.55,26,15,11,0.5637254901960784,0.013725490196078383,0.5769230769230769,0.4230769230769231
HP_d8efeeab,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,2,1020,518,0.55,29,21,8,0.5078431372549019,-0.04215686274509811,0.7241379310344828,0.27586206896551724
HP_67b47c92,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,3,1020,567,0.55,26,21,5,0.5558823529411765,0.00588235294117645,0.8076923076923077,0.19230769230769232
HP_793533d2,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,4,1020,570,0.55,26,21,5,0.5588235294117647,0.008823529411764675,0.8076923076923077,0.19230769230769232
HP_5e77c7ce,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,5,1020,607,0.55,24,16,8,0.5950980392156863,0.045098039215686225,0.6666666666666666,0.3333333333333333
HP_9807d6cb,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,6,1020,592,0.55,25,20,5,0.5803921568627451,0.0303921568627451,0.8,0.2
HP_ee7fef61,2026-01-03,SD,SS_2fec5b82,OP_001,TL_001,W_CAM,L_CAM_A,7,1020,600,0.55,24,17,7,0.5882352941176471,0.038235294117647034,0.7083333333333334,0.2916666666666667
HP_49eb2ffe,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,0,1500,1500,0.65,0,0,0,1.0,0.35,0.0,0.0
HP_524c6746,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,1,1500,941,0.65,22,17,5,0.6273333333333333,-0.022666666666666724,0.7727272727272727,0.22727272727272727
HP_226a994f,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,2,1500,1000,0.65,20,16,4,0.6666666666666666,0.016666666666666607,0.8,0.2
HP_8641684c,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,3,1500,1009,0.65,19,12,7,0.6726666666666666,0.022666666666666613,0.631578947368421,0.3684210526315789
HP_04cff7da,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,4,1500,1026,0.65,18,14,4,0.684,0.03400000000000003,0.7777777777777778,0.2222222222222222
HP_1242f312,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,5,1500,909,0.65,23,20,3,0.606,-0.04400000000000004,0.8695652173913043,0.13043478260869565
HP_21dcdd01,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,6,1500,974,0.65,21,18,3,0.6493333333333333,-0.0006666666666667043,0.8571428571428571,0.14285714285714285
HP_753ecc0a,2026-01-04,SD,SS_7df1b3c5,OP_002,TL_002,W_OV,L_OV_ES,7,1500,939,0.65,22,14,8,0.626,-0.02400000000000002,0.6363636363636364,0.36363636363636365
HP_287d0a71,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,0,900,900,0.66,0,0,0,1.0,0.33999999999999997,0.0,0.0
HP_cdca8a12,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,1,900,616,0.66,18,13,5,0.6844444444444444,0.02444444444444438,0.7222222222222222,0.2777777777777778
HP_474e138b,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,2,900,568,0.66,22,19,3,0.6311111111111111,-0.028888888888888964,0.8636363636363636,0.13636363636363635
HP_29469be2,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,3,900,562,0.66,22,14,8,0.6244444444444445,-0.03555555555555556,0.6363636363636364,0.36363636363636365
HP_d6395044,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,4,900,571,0.66,21,16,5,0.6344444444444445,-0.025555555555555554,0.7619047619047619,0.23809523809523808
HP_4c47084c,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,5,900,573,0.66,21,16,5,0.6366666666666667,-0.023333333333333317,0.7619047619047619,0.23809523809523808
HP_c7266f5c,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,6,900,636,0.66,17,14,3,0.7066666666666667,0.046666666666666634,0.8235294117647058,0.17647058823529413
HP_7c0a189c,2026-01-05,MATIN,SS_de0ab787,OP_003,TL_003,W_PORTION,L_PORTION_1,7,900,558,0.66,22,17,5,0.62,-0.040000000000000036,0.7727272727272727,0.22727272727272727
HP_a9938b35,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,0,1020,1020,0.55,0,0,0,1.0,0.44999999999999996,0.0,0.0
HP_f820ed3c,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,1,1020,530,0.55,28,19,9,0.5196078431372549,-0.0303921568627451,0.6785714285714286,0.32142857142857145
HP_1be81b1c,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,2,1020,511,0.55,29,25,4,0.5009803921568627,-0.0490196078431373,0.8620689655172413,0.13793103448275862
HP_84c2366a,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,3,1020,593,0.55,25,22,3,0.5813725490196079,0.03137254901960784,0.88,0.12
HP_61f4c272,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,4,1020,606,0.55,24,15,9,0.5941176470588235,0.044117647058823484,0.625,0.375
HP_5559bbd6,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,5,1020,582,0.55,25,17,8,0.5705882352941176,0.020588235294117574,0.68,0.32
HP_e5720459,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,6,1020,556,0.55,27,18,9,0.5450980392156862,-0.004901960784313819,0.6666666666666666,0.3333333333333333
HP_4f71470d,2026-01-05,SOIR,SS_de652ba5,OP_004,TL_001,W_CAM,L_CAM_A,7,1020,533,0.55,28,18,10,0.5225490196078432,-0.027450980392156876,0.6428571428571429,0.35714285714285715
HP_a86bb182,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,0,1380,1380,0.58,0,0,0,1.0,0.42000000000000004,0.0,0.0
HP_83c30be8,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,1,1380,823,0.58,24,15,9,0.5963768115942029,0.0163768115942029,0.625,0.375
HP_4f680331,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,2,1380,842,0.58,23,15,8,0.6101449275362318,0.03014492753623188,0.6521739130434783,0.34782608695652173
HP_8470e4fd,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,3,1380,795,0.58,25,20,5,0.5760869565217391,-0.003913043478260825,0.8,0.2
HP_76f1b1ce,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,4,1380,757,0.58,27,20,7,0.5485507246376812,-0.031449275362318785,0.7407407407407407,0.25925925925925924
HP_8c75e39c,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,5,1380,792,0.58,25,21,4,0.5739130434782609,-0.006086956521739073,0.84,0.16
HP_2680415d,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,6,1380,754,0.58,27,20,7,0.5463768115942029,-0.03362318840579703,0.7407407407407407,0.25925925925925924
HP_268a8e47,2026-01-05,NUIT,SS_8abca126,OP_005,TL_002,W_OV,L_OV_Z,7,1380,859,0.58,22,18,4,0.6224637681159421,0.0424637681159421,0.8181818181818182,0.18181818181818182
HP_e743eb7b,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,0,960,960,0.68,0,0,0,1.0,0.31999999999999995,0.0,0.0
HP_0dcc24a4,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,1,960,619,0.68,21,14,7,0.6447916666666667,-0.0352083333333334,0.6666666666666666,0.3333333333333333
HP_718653e5,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,2,960,610,0.68,21,14,7,0.6354166666666666,-0.04458333333333342,0.6666666666666666,0.3333333333333333
HP_52586d2f,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,3,960,693,0.68,16,12,4,0.721875,0.041874999999999996,0.75,0.25
HP_4fcb2f1c,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,4,960,611,0.68,21,13,8,0.6364583333333333,-0.0435416666666667,0.6190476190476191,0.38095238095238093
HP_171d638b,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,5,960,695,0.68,16,12,4,0.7239583333333334,0.04395833333333332,0.75,0.25
HP_27521309,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,6,960,612,0.68,21,16,5,0.6375,-0.04250000000000009,0.7619047619047619,0.23809523809523808
HP_892c8f57,2026-01-06,MATIN,SS_69e17f57,OP_006,TL_003,W_PORTION,L_PORTION_2,7,960,635,0.68,20,13,7,0.6614583333333334,-0.01854166666666668,0.65,0.35
HP_1426d1c4,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,0,1020,1020,0.55,0,0,0,1.0,0.44999999999999996,0.0,0.0
HP_da0f8fca,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,1,1020,523,0.55,29,23,6,0.5127450980392156,-0.0372549019607844,0.7931034482758621,0.20689655172413793
HP_ddf1a4bb,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,2,1020,573,0.55,26,19,7,0.5617647058823529,0.0117647058823529,0.7307692307692307,0.2692307692307692
HP_ec51a110,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,3,1020,605,0.55,24,20,4,0.5931372549019608,0.04313725490196074,0.8333333333333334,0.16666666666666666
HP_8743b32b,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,4,1020,595,0.55,25,20,5,0.5833333333333334,0.033333333333333326,0.8,0.2
HP_728bd84d,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,5,1020,576,0.55,26,15,11,0.5647058823529412,0.014705882352941124,0.5769230769230769,0.4230769230769231
HP_344c39bb,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,6,1020,585,0.55,25,16,9,0.5735294117647058,0.0235294117647058,0.64,0.36
HP_246cdba3,2026-01-06,SOIR,SS_0588c2c5,OP_007,TL_001,W_CAM,L_CAM_A,7,1020,583,0.55,25,16,9,0.5715686274509804,0.021568627450980316,0.64,0.36
HP_231adaf2,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,0,1800,1800,0.7,0,0,0,1.0,0.30000000000000004,0.0,0.0
HP_28c0c4e8,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,1,1800,1332,0.7,15,12,3,0.74,0.040000000000000036,0.8,0.2
HP_46554637,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,2,1800,1246,0.7,18,12,6,0.6922222222222222,-0.007777777777777772,0.6666666666666666,0.3333333333333333
HP_1dbc4f3b,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,3,1800,1284,0.7,17,11,6,0.7133333333333334,0.01333333333333342,0.6470588235294118,0.35294117647058826
HP_220b10f6,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,4,1800,1297,0.7,16,12,4,0.7205555555555555,0.02055555555555555,0.75,0.25
HP_6d05c2e4,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,5,1800,1268,0.7,17,14,3,0.7044444444444444,0.004444444444444473,0.8235294117647058,0.17647058823529413
HP_a10b8613,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,6,1800,1196,0.7,20,12,8,0.6644444444444444,-0.03555555555555556,0.6,0.4
HP_a24be4a8,2026-01-06,NUIT,SS_58bceb5a,OP_008,TL_002,W_OV,L_OV_X,7,1800,1331,0.7,15,9,6,0.7394444444444445,0.039444444444444504,0.6,0.4
HP_32e17d88,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,0,900,900,0.66,0,0,0,1.0,0.33999999999999997,0.0,0.0
HP_cdc3feff,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,1,900,558,0.66,22,18,4,0.62,-0.040000000000000036,0.8181818181818182,0.18181818181818182
HP_baa6d818,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,2,900,565,0.66,22,19,3,0.6277777777777778,-0.03222222222222226,0.8636363636363636,0.13636363636363635
HP_b738553b,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,3,900,626,0.66,18,12,6,0.6955555555555556,0.03555555555555556,0.6666666666666666,0.3333333333333333
HP_f4f70be5,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,4,900,551,0.66,23,15,8,0.6122222222222222,-0.04777777777777781,0.6521739130434783,0.34782608695652173
HP_0a229e0a,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,5,900,594,0.66,20,16,4,0.66,0.0,0.8,0.2
HP_3c7329bf,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,6,900,635,0.66,17,11,6,0.7055555555555556,0.04555555555555557,0.6470588235294118,0.35294117647058826
HP_8e5ff66b,2026-01-07,MATIN,SS_9a979b24,OP_009,TL_003,W_PORTION,L_PORTION_1,7,900,588,0.66,20,17,3,0.6533333333333333,-0.00666666666666671,0.85,0.15
HP_adc03b94,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,0,1020,1020,0.55,0,0,0,1.0,0.44999999999999996,0.0,0.0
HP_2fc5bd76,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,1,1020,514,0.55,29,21,8,0.503921568627451,-0.04607843137254908,0.7241379310344828,0.27586206896551724
HP_ec4d594c,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,2,1020,573,0.55,26,20,6,0.5617647058823529,0.0117647058823529,0.7692307692307693,0.23076923076923078
HP_a69707f3,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,3,1020,581,0.55,25,19,6,0.5696078431372549,0.019607843137254832,0.76,0.24
HP_2619f832,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,4,1020,572,0.55,26,17,9,0.5607843137254902,0.010784313725490158,0.6538461538461539,0.34615384615384615
HP_79a9386c,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,5,1020,571,0.55,26,18,8,0.5598039215686275,0.009803921568627416,0.6923076923076923,0.3076923076923077
HP_f185bc64,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,6,1020,590,0.55,25,22,3,0.5784313725490197,0.028431372549019618,0.88,0.12
HP_58cba710,2026-01-07,SOIR,SS_f0df443f,OP_010,TL_001,W_CAM,L_CAM_A,7,1020,573,0.55,26,16,10,0.5617647058823529,0.0117647058823529,0.6153846153846154,0.38461538461538464
HP_8a47c18d,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,0,1200,1200,0.6,0,0,0,1.0,0.4,0.0,0.0
HP_d53efb0c,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,1,1200,733,0.6,23,19,4,0.6108333333333333,0.010833333333333361,0.8260869565217391,0.17391304347826086
HP_0e0b796d,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,2,1200,683,0.6,25,20,5,0.5691666666666667,-0.030833333333333268,0.8,0.2
HP_679946c1,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,3,1200,660,0.6,27,22,5,0.55,-0.04999999999999993,0.8148148148148148,0.18518518518518517
HP_b5ce4f23,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,4,1200,666,0.6,26,17,9,0.555,-0.04499999999999993,0.6538461538461539,0.34615384615384615
HP_b6436824,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,5,1200,715,0.6,24,18,6,0.5958333333333333,-0.004166666666666652,0.75,0.25
HP_a6ad8e50,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,6,1200,711,0.6,24,20,4,0.5925,-0.007499999999999951,0.8333333333333334,0.16666666666666666
HP_df32f9a2,2026-01-07,NUIT,SS_57761a17,OP_001,TL_002,W_OV,L_OV_MS,7,1200,693,0.6,25,20,5,0.5775,-0.022499999999999964,0.8,0.2
HP_ac0b95b4,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,0,960,960,0.68,0,0,0,1.0,0.31999999999999995,0.0,0.0
HP_63134a49,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,1,960,632,0.68,20,13,7,0.6583333333333333,-0.021666666666666723,0.65,0.35
HP_d9bcfd35,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,2,960,641,0.68,19,12,7,0.6677083333333333,-0.0122916666666667,0.631578947368421,0.3684210526315789
HP_c9bec505,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,3,960,636,0.68,20,14,6,0.6625,-0.01750000000000007,0.7,0.3
HP_12d33709,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,4,960,691,0.68,16,12,4,0.7197916666666667,0.03979166666666667,0.75,0.25
HP_afc223f5,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,5,960,650,0.68,19,16,3,0.6770833333333334,-0.0029166666666666785,0.8421052631578947,0.15789473684210525
HP_fa1ca18c,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,6,960,642,0.68,19,16,3,0.66875,-0.011250000000000093,0.8421052631578947,0.15789473684210525
HP_9e300acf,2026-01-08,MATIN,SS_e26d28ff,OP_002,TL_003,W_PORTION,L_PORTION_2,7,960,681,0.68,17,14,3,0.709375,0.02937499999999993,0.8235294117647058,0.17647058823529413
HP_07ff6ade,2026-01-08,SOIR,SS_a9d63ddb,OP_003,TL_001,W_CAM,L_CAM_A,0,1020,1020,0.55,0,0,0,1.0,0.44999999999999996,0.0,0.0
HP_38cf5fcc,2026-01-08,SOIR,SS_a9d63ddb,OP_003,TL_001,W_CAM,L_CAM_A,1,1020,554,0.55,27,16,11,0.5431372549019607,-0.006862745098039302,0.5925925925925926,0.4074074074074074
HP_f8a4a017,2026-01-08,SOIR,SS_a9d63ddb,OP_003,TL_001,W_CAM,L_CAM_A,2,1020,603,0.55,24,21,3,0.5911764705882353,0.04117647058823526,0.875,0.125
HP_00cfa489,2026-01-08,SOIR,SS_a9d63ddb,OP_003,TL_001,W_CAM,L_CAM_A,3,1020,553,0.55,27,23,4,0.542156862745098,-0.007843137254902044,0.8518518518518519,0.14814814814814814
