event_id,hourly_prod_id,event_type,cause_family,organ,element,operator_action,duration_minutes,comment
EV_670d4791,HP_435e7f1a,missing_film_imprint,quality,printing_unit,print_head,print check,10,Generated production event
EV_dc2d2532,HP_435e7f1a,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,5,Generated production event
EV_037b731d,HP_435e7f1a,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,11,Generated production event
EV_80b8a1da,HP_d8efeeab,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,5,Generated production event
EV_4c6d4cef,HP_d8efeeab,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,10,Generated production event
EV_8f3d3d59,HP_d8efeeab,case_packer_format_change,changeover,case_packer,format,format change,12,Generated production event
EV_1c6ba077,HP_d8efeeab,outfeed_conveyor_failure,mechanical,case_packer,conveyor,product evacuation,2,Generated production event
EV_71375962,HP_67b47c92,machine_warmup,planned,machine,startup,warmup,16,Generated production event
EV_9abd3e53,HP_67b47c92,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,10,Generated production event
EV_2a140686,HP_793533d2,infeed_conveyor_failure,mechanical,stacker,conveyor,conveyor supply,8,Generated production event
EV_d26464e4,HP_793533d2,paper_roll_change,changeover,printing_unit,paper_roll,roll change,13,Generated production event
EV_bb063f8b,HP_793533d2,missing_film_imprint,quality,printing_unit,print_head,print check,3,Generated production event
EV_3c0f4f57,HP_793533d2,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,2,Generated production event
EV_c597f368,HP_5e77c7ce,base_plate_transfer_fault,mechanical,base_plate_system,transfer,plate transfer,15,Generated production event
EV_c5fbccd4,HP_5e77c7ce,base_plate_position_fault,mechanical,base_plate_system,positioning,plate alignment,5,Generated production event
EV_9443d045,HP_5e77c7ce,poor_material_supply,organization,supply_chain,logistics,supply adjustment,4,Generated production event
EV_1b3eefd7,HP_9807d6cb,machine_warmup,planned,machine,startup,warmup,6,Generated production event
EV_86a94bd5,HP_9807d6cb,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,5,Generated production event
EV_582b52c1,HP_9807d6cb,shift_handover,planned,organization,handover,handover,7,Generated production event
EV_8139269a,HP_9807d6cb,unknown_event,other,,,,7,Generated production event
EV_7790af15,HP_ee7fef61,axis_collision,mechanical,robot_axis,axis,axis reset,5,Generated production event
EV_c66f1d87,HP_ee7fef61,door_safety_fault,electrical,safety_system,safety_door,reset safety,10,Generated production event
EV_d986a950,HP_ee7fef61,product_length_out_of_range,quality,measurement_system,length_control,product rejection,3,Generated production event
EV_c779c998,HP_ee7fef61,sticker_application_fault,process,labeling_unit,applicator,sticker adjustment,3,Generated production event
EV_eb06c0d0,HP_ee7fef61,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,3,Generated production event
EV_3d5ff723,HP_524c6746,short_break,planned,human,break,break,10,Alternating daily break
EV_521c285a,HP_524c6746,small_product_output,process,upstream_process,throughput,process check,5,Generated production event
EV_cfb1a6c6,HP_524c6746,small_product_output,process,upstream_process,throughput,process check,5,Generated production event
EV_032599c8,HP_524c6746,photoelectric_sensor_fault,electrical,conveyor,photoelectric_sensor,sensor cleaning,2,Generated production event
EV_067110a8,HP_226a994f,short_break,planned,human,break,break,10,Alternating daily break
EV_fa59a7ee,HP_226a994f,other,other,,,,4,Generated production event
EV_caf06024,HP_226a994f,planned_maintenance,maintenance,maintenance,planned,maintenance,4,Generated production event
EV_4083c09c,HP_226a994f,machine_warmup,planned,machine,startup,warmup,2,Generated production event
EV_17302da1,HP_8641684c,short_break,planned,human,break,break,10,Alternating daily break
EV_01c1922d,HP_8641684c,label_ribbon_replacement,operator,labeling_unit,ribbon,ribbon replacement,5,Generated production event
EV_9ce8bd40,HP_8641684c,unknown_event,other,,,,3,Generated production event
