shift_operator_assignment_id,shift_supervision_id,operator_id,line_id,date,session
SOA_12766a13,SS_2fec5b82,OP_001,L_CAM_A,2026-01-03,SD
SOA_2415ad6e,SS_7df1b3c5,OP_002,L_OV_ES,2026-01-04,SD
SOA_3b3dea69,SS_de0ab787,OP_003,L_PORTION_1,2026-01-05,MATIN
SOA_fd9f7c0b,SS_de652ba5,OP_004,L_CAM_A,2026-01-05,SOIR
SOA_e402bab7,SS_8abca126,OP_005,L_OV_Z,2026-01-05,NUIT
SOA_8082e50d,SS_69e17f57,OP_006,L_PORTION_2,2026-01-06,MATIN
SOA_0c9a2356,SS_0588c2c5,OP_007,L_CAM_A,2026-01-06,SOIR
SOA_71317a77,SS_58bceb5a,OP_008,L_OV_X,2026-01-06,NUIT
SOA_5a9d3de1,SS_9a979b24,OP_009,L_PORTION_1,2026-01-07,MATIN
SOA_39c2c98d,SS_f0df443f,OP_010,L_CAM_A,2026-01-07,SOIR
SOA_32f102e0,SS_57761a17,OP_001,L_OV_MS,2026-01-07,NUIT
SOA_6c8de35b,SS_e26d28ff,OP_002,L_PORTION_2,2026-01-08,MATIN
SOA_1bcfc448,SS_a9d63ddb,OP_003,L_CAM_A,2026-01-08,SOIR
SOA_7240d545,SS_638917cf,OP_004,L_OV_Y,2026-01-08,NUIT
SOA_8b00d0d0,SS_71080799,OP_005,L_PORTION_1,2026-01-09,MATIN
SOA_a2c91f78,SS_13847add,OP_006,L_CAM_A,2026-01-09,SOIR
SOA_9b9449bd,SS_798ef61a,OP_007,L_OV_ES,2026-01-09,NUIT
SOA_8571a990,SS_b266dcad,OP_008,L_PORTION_2,2026-01-10,SD
