shift_supervision_id,date,session,factory_id,workshop_id,line_id,team_lead_id,start_time,end_time
SS_2fec5b82,2026-01-03,SD,F_DOM,W_CAM,L_CAM_A,TL_001,06:00,10:00
SS_7df1b3c5,2026-01-04,SD,F_DOM,W_OV,L_OV_ES,TL_002,06:00,10:00
SS_de0ab787,2026-01-05,MATIN,F_DOM,W_PORTION,L_PORTION_1,TL_003,05:00,13:15
SS_de652ba5,2026-01-05,SOIR,F_DOM,W_CAM,L_CAM_A,TL_001,13:15,21:30
SS_8abca126,2026-01-05,NUIT,F_DOM,W_OV,L_OV_Z,TL_002,21:30,05:00
SS_69e17f57,2026-01-06,MATIN,F_DOM,W_PORTION,L_PORTION_2,TL_003,05:00,13:15
SS_0588c2c5,2026-01-06,SOIR,F_DOM,W_CAM,L_CAM_A,TL_001,13:15,21:30
SS_58bceb5a,2026-01-06,NUIT,F_DOM,W_OV,L_OV_X,TL_002,21:30,05:00
SS_9a979b24,2026-01-07,MATIN,F_DOM,W_PORTION,L_PORTION_1,TL_003,05:00,13:15
SS_f0df443f,2026-01-07,SOIR,F_DOM,W_CAM,L_CAM_A,TL_001,13:15,21:30
SS_57761a17,2026-01-07,NUIT,F_DOM,W_OV,L_OV_MS,TL_002,21:30,05:00
SS_e26d28ff,2026-01-08,MATIN,F_DOM,W_PORTION,L_PORTION_2,TL_003,05:00,13:15
SS_a9d63ddb,2026-01-08,SOIR,F_DOM,W_CAM,L_CAM_A,TL_001,13:15,21:30
SS_638917cf,2026-01-08,NUIT,F_DOM,W_OV,L_OV_Y,TL_002,21:30,05:00
SS_71080799,2026-01-09,MATIN,F_DOM,W_PORTION,L_PORTION_1,TL_003,05:00,13:15
SS_13847add,2026-01-09,SOIR,F_DOM,W_CAM,L_CAM_A,TL_001,13:15,21:30
SS_798ef61a,2026-01-09,NUIT,F_DOM,W_OV,L_OV_ES,TL_002,21:30,05:00
SS_b266dcad,2026-01-10,SD,F_DOM,W_PORTION,L_PORTION_2,TL_003,06:00,10:00
